"Player","EH_ID","API ID","Season","Team","Position","Shoots","Birthday","Age","Draft Yr","Draft Rd","Draft Ov","GP","TOI","TM #","TOI/GP","TOI%","RAPM_C±/60","RAPM_xG±/60","GAR±/60","xGAR±/60"
"Bracken Kearns","BRACKEN.KEARNS","8471996","15-16","NYI","C","L",1981-05-12,34,1999,NA,NA,2,27.43,19,14.67,28.63,-0.17,0.009,0.18,0.14
"Bracken Kearns","BRACKEN.KEARNS","8471996","16-17","NYI","C","L",1981-05-12,35,1999,NA,NA,2,22.25,17,13.58,27,0.2,0.007,0.42,0.2
"Brad Boyes","BRAD.BOYES","8468504","07-08","STL","C/R","R",1982-04-17,25,2000,1,24,82,1124.2,28,14.18,30.6,0.73,-0.003,0.19,0.14
"Brad Boyes","BRAD.BOYES","8468504","08-09","STL","R","R",1982-04-17,26,2000,1,24,82,1169.28,33,13.86,30.03,0.49,0.046,0.24,0.26
"Brad Boyes","BRAD.BOYES","8468504","09-10","STL","R","R",1982-04-17,27,2000,1,24,82,1088,27,14.01,29.81,0.57,-0.004,0.17,0.19
"Brad Boyes","BRAD.BOYES","8468504","10-11","BUF","R","R",1982-04-17,28,2000,1,24,21,298.5,24,14.42,29.42,0.48,0.02,0.31,0.31
"Brad Boyes","BRAD.BOYES","8468504","10-11","STL","R","R",1982-04-17,28,2000,1,24,62,877.4,32,15.06,30.84,1.18,0.041,0.22,0.28
"Brad Boyes","BRAD.BOYES","8468504","11-12","BUF","R","R",1982-04-17,29,2000,1,24,65,709.82,29,14.41,28.71,-0.04,-0.026,0.11,0.12
"Brad Boyes","BRAD.BOYES","8468504","12-13","NYI","R","R",1982-04-17,30,2000,1,24,48,704.53,23,16.26,32.15,0.95,0.086,0.18,0.27
"Brad Boyes","BRAD.BOYES","8468504","13-14","FLA","R","R",1982-04-17,31,2000,1,24,78,1093.73,32,15.07,30.6,1.34,0.044,0.15,0.2
"Brad Boyes","BRAD.BOYES","8468504","14-15","FLA","R","R",1982-04-17,32,2000,1,24,78,1041,27,15.17,30.09,1.01,0.053,0.2,0.24
"Brad Boyes","BRAD.BOYES","8468504","15-16","TOR","R","R",1982-04-17,33,2000,1,24,60,556.9,41,13.66,27.92,-0.02,-0.011,0.1,0.02
"Brad Hunt","BRAD.HUNT","8476779","13-14","EDM","D","L",1988-08-24,25,2006,NA,NA,3,34.75,18,13.07,26.85,-2.56,-0.067,0.05,-0.03
"Brad Hunt","BRAD.HUNT","8476779","14-15","EDM","D","L",1988-08-24,26,2006,NA,NA,11,174.67,26,14.57,28.69,-0.37,-0.065,0.06,0.14
"Brad Hunt","BRAD.HUNT","8476779","15-16","EDM","D","L",1988-08-24,27,2006,NA,NA,7,81.3,21,13.32,26.9,0.06,-0.013,0.08,0.08
"Brad Hunt","BRAD.HUNT","8476779","16-17","NSH","D","L",1988-08-24,28,2006,NA,NA,3,48.45,21,12.04,24.19,-0.35,-0.011,0.11,0.05
"Brad Hunt","BRAD.HUNT","8476779","16-17","STL","D","L",1988-08-24,28,2006,NA,NA,9,114.25,20,13.68,27.72,1.02,0.031,0.26,0.34
"Brad Hunt","BRAD.HUNT","8476779","17-18","VGK","D","L",1988-08-24,29,2006,NA,NA,45,635.4,28,13.34,26.64,2.03,0.061,0.31,0.34
"Brad Hunt","BRAD.HUNT","8476779","18-19","MIN","D","L",1988-08-24,30,2006,NA,NA,29,361.85,26,12.78,25.73,0.13,0.017,0.1,0.03
"Brad Hunt","BRAD.HUNT","8476779","18-19","VGK","D","L",1988-08-24,30,2006,NA,NA,13,155.82,23,13.2,26.47,2.17,0.075,0.26,0.22
"Brad Hunt","BRAD.HUNT","8476779","19-20","MIN","D","L",1988-08-24,31,2006,NA,NA,59,745.38,26,12.88,25.96,-0.47,0.03,0.34,0.28
"Brad Hunt","BRAD.HUNT","8476779","20-21","MIN","D","L",1988-08-24,32,2006,NA,NA,12,125.58,24,12.98,26.31,-0.76,0.034,0.36,0.31
"Brad Hunt","BRAD.HUNT","8476779","21-22","VAN","D","L",1988-08-24,33,2006,NA,NA,50,702.8,31,13.25,26.31,0.06,-0.006,0.12,0.09
"Brad Hunt","BRAD.HUNT","8476779","22-23","COL","D","L",1988-08-24,34,2006,NA,NA,47,519.58,32,13.11,26.36,0.98,0.029,0.16,0.2
"Brad Isbister","BRAD.ISBISTER","8462094","07-08","VAN","L","R",1977-05-07,30,1995,3,67,55,553.13,29,13.77,29.99,-0.68,-0.021,0.16,0.1
"Brad Larsen","BRAD.LARSEN","8462082","07-08","ATL","L","L",1977-06-28,30,1997,4,87,62,527.15,27,13.33,28.18,-2.71,-0.098,0.09,-0.03
"Brad Lukowich","BRAD.LUKOWICH","8460580","07-08","T.B","D","L",1976-08-12,31,1994,4,90,59,826.92,29,12.95,27.12,-0.02,0.012,0.23,0.19
"Brad Lukowich","BRAD.LUKOWICH","8460580","08-09","S.J","D","L",1976-08-12,32,1994,4,90,58,841.15,27,13.62,28.56,3.22,0.098,0.16,0.25
"Brad Lukowich","BRAD.LUKOWICH","8460580","09-10","VAN","D","L",1976-08-12,33,1994,4,90,13,128.77,22,13.04,27.46,1.13,0.021,0.24,0.24
"Brad Lukowich","BRAD.LUKOWICH","8460580","10-11","DAL","D","L",1976-08-12,34,1994,4,90,5,51.25,18,12.69,26.24,0.32,-0.006,0.17,0.2
"Brad Malone","BRAD.MALONE","8474089","11-12","COL","C","L",1989-05-20,22,2007,4,105,9,89.42,22,13.59,27.07,-0.27,-0.043,0.04,0.12
"Brad Malone","BRAD.MALONE","8474089","12-13","COL","C","L",1989-05-20,23,2007,4,105,13,109.42,25,13.3,26.96,-1.33,-0.054,0.07,0.03
"Brad Malone","BRAD.MALONE","8474089","13-14","COL","C","L",1989-05-20,24,2007,4,105,32,214.15,24,12.52,25.13,-1.78,-0.085,0.13,0.1
"Brad Malone","BRAD.MALONE","8474089","14-15","CAR","C","L",1989-05-20,25,2007,4,105,65,626.17,31,13.88,27.17,-1.78,-0.078,0.02,-0.02
"Brad Malone","BRAD.MALONE","8474089","15-16","CAR","C","L",1989-05-20,26,2007,4,105,57,472.5,28,13.76,26.94,-0.78,-0.039,-0.09,-0.04
"Brad Malone","BRAD.MALONE","8474089","17-18","EDM","C","L",1989-05-20,28,2007,4,105,7,51.33,20,13.58,26.83,0.25,-0.004,0.07,0.06
"Brad Malone","BRAD.MALONE","8474089","18-19","EDM","C","L",1989-05-20,29,2007,4,105,16,127.22,24,14.19,28.06,-0.9,-0.035,0.06,0.01
"Brad Malone","BRAD.MALONE","8474089","21-22","EDM","C","L",1989-05-20,32,2007,4,105,8,55.75,23,13.37,26.69,0.91,-0.002,0.1,0.08
"Brad Malone","BRAD.MALONE","8474089","22-23","EDM","C","L",1989-05-20,33,2007,4,105,10,64.78,23,12.66,25.75,0.61,0.045,0.1,0.08
"Brad Marchand","BRAD.MARCHAND","8473419","09-10","BOS","C","L",1988-05-11,21,2006,3,71,20,213.88,26,14.48,29.04,0.92,0.029,0.15,0.15
"Brad Marchand","BRAD.MARCHAND","8473419","10-11","BOS","C","L",1988-05-11,22,2006,3,71,77,906.4,28,14.37,29.19,1.27,0.007,0.15,0.18
"Brad Marchand","BRAD.MARCHAND","8473419","11-12","BOS","C","L",1988-05-11,23,2006,3,71,76,1051.62,28,15.39,30.84,3.53,0.164,0.53,0.42
"Brad Marchand","BRAD.MARCHAND","8473419","12-13","BOS","C","L",1988-05-11,24,2006,3,71,45,616.78,28,15.67,31.37,4.71,0.175,0.4,0.36
"Brad Marchand","BRAD.MARCHAND","8473419","13-14","BOS","C","L",1988-05-11,25,2006,3,71,82,1126.62,31,15.02,29.97,4.49,0.159,0.49,0.44
"Brad Marchand","BRAD.MARCHAND","8473419","14-15","BOS","C","L",1988-05-11,26,2006,3,71,77,1094.48,31,15.29,29.95,3.39,0.114,0.32,0.34
"Brad Marchand","BRAD.MARCHAND","8473419","15-16","BOS","C","L",1988-05-11,27,2006,3,71,77,1116.22,30,14.96,30.14,1.41,0.041,0.29,0.29
"Brad Marchand","BRAD.MARCHAND","8473419","16-17","BOS","C","L",1988-05-11,28,2006,3,71,80,1143.5,26,15.29,31.07,4.14,0.165,0.35,0.36
"Brad Marchand","BRAD.MARCHAND","8473419","17-18","BOS","C","L",1988-05-11,29,2006,3,71,68,977.88,31,15.38,30.85,2.05,0.045,0.29,0.26
"Brad Marchand","BRAD.MARCHAND","8473419","18-19","BOS","C","L",1988-05-11,30,2006,3,71,79,1127.48,32,15.27,30.39,2.27,0.078,0.41,0.36
"Brad Marchand","BRAD.MARCHAND","8473419","19-20","BOS","C","L",1988-05-11,31,2006,3,71,70,947.82,29,15.26,30.92,1.63,0.066,0.44,0.42
"Brad Marchand","BRAD.MARCHAND","8473419","20-21","BOS","C","L",1988-05-11,32,2006,3,71,53,719.17,34,15.12,30.26,4.62,0.137,0.53,0.39
"Brad Marchand","BRAD.MARCHAND","8473419","21-22","BOS","C/L","L",1988-05-11,33,2006,3,71,70,939.08,31,14.93,30.24,5.01,0.228,0.52,0.54
"Brad Marchand","BRAD.MARCHAND","8473419","22-23","BOS","L","L",1988-05-11,34,2006,3,71,73,949.83,31,14.37,29.7,4.19,0.233,0.62,0.6
"Brad May","BRAD.MAY","8457261","07-08","ANA","L","L",1971-11-29,35,1990,1,14,61,397.83,32,12.1,26.45,-0.18,0.002,0.14,0.15
"Brad May","BRAD.MAY","8457261","08-09","ANA","L","L",1971-11-29,36,1990,1,14,20,126.07,22,11.79,25.56,-0.7,-0.019,0.12,0.15
"Brad May","BRAD.MAY","8457261","08-09","TOR","L","L",1971-11-29,36,1990,1,14,38,288.43,30,13.18,27.31,-1.88,-0.097,-0.05,0.08
"Brad May","BRAD.MAY","8457261","09-10","DET","L","L",1971-11-29,37,1990,1,14,40,278.02,26,12.77,26.11,0.28,-0.004,0.05,0.05
"Brad Mills","BRAD.MILLS","8473927","10-11","N.J","C","R",1983-05-03,27,2001,NA,NA,4,30.15,18,13.16,26.68,-0.03,0.012,-0.07,0.13
"Brad Mills","BRAD.MILLS","8473927","11-12","N.J","C","R",1983-05-03,28,2001,NA,NA,27,171.4,29,12.89,25.98,-1.17,-0.028,-0.11,0.01
"Brad Mills","BRAD.MILLS","8473927","13-14","CHI","C","R",1983-05-03,30,2001,NA,NA,3,26.38,15,14,27.79,3.1,0.12,0.34,0.32
"Brad Richards","BRAD.RICHARDS","8467389","07-08","DAL","C","L",1980-05-02,27,1998,3,64,12,162.42,21,13.42,29.25,1.09,0.043,0.25,0.28
"Brad Richards","BRAD.RICHARDS","8467389","07-08","T.B","C","L",1980-05-02,27,1998,3,64,62,1008.9,25,15.1,31.58,0.53,0.027,0.26,0.23
"Brad Richards","BRAD.RICHARDS","8467389","08-09","DAL","C","L",1980-05-02,28,1998,3,64,56,780.6,28,14.19,30.38,1.41,0.052,0.32,0.34
"Brad Richards","BRAD.RICHARDS","8467389","09-10","DAL","C","L",1980-05-02,29,1998,3,64,79,1185.62,27,15.05,30.95,-0.7,0,0.22,0.21
"Brad Richards","BRAD.RICHARDS","8467389","10-11","DAL","C","L",1980-05-02,30,1998,3,64,72,1133.87,29,15.36,31.79,-0.43,-0.016,0.26,0.19
"Brad Richards","BRAD.RICHARDS","8467389","11-12","NYR","C","L",1980-05-02,31,1998,3,64,82,1274.9,29,15.67,31.76,0.2,0.071,0.2,0.24
"Brad Richards","BRAD.RICHARDS","8467389","12-13","NYR","C","L",1980-05-02,32,1998,3,64,46,697.75,32,16.13,32.35,1.23,0.079,0.26,0.24
"Brad Richards","BRAD.RICHARDS","8467389","13-14","NYR","C","L",1980-05-02,33,1998,3,64,82,1204,29,15.14,30.44,1.54,0.065,0.18,0.17
"Brad Richards","BRAD.RICHARDS","8467389","14-15","CHI","C","L",1980-05-02,34,1998,3,64,76,960.95,30,15.25,30.3,1,0.003,0.18,0.18
"Brad Richards","BRAD.RICHARDS","8467389","15-16","DET","C","L",1980-05-02,35,1998,3,64,68,808.37,27,14.52,29.51,1.66,0.052,0.17,0.21
"Brad Richardson","BRAD.RICHARDSON","8470755","07-08","COL","R","L",1985-02-04,22,2003,5,163,22,251.77,24,13.51,28.58,-1.03,0.004,0.2,0.15
"Brad Richardson","BRAD.RICHARDSON","8470755","08-09","L.A","R","L",1985-02-04,23,2003,5,163,31,326.03,25,13.4,29.11,-0.22,-0.017,0.01,0.06
"Brad Richardson","BRAD.RICHARDSON","8470755","09-10","L.A","R","L",1985-02-04,24,2003,5,163,81,906.98,30,13.94,28.8,0.12,0.028,0.2,0.22
"Brad Richardson","BRAD.RICHARDSON","8470755","10-11","L.A","R","L",1985-02-04,25,2003,5,163,68,725.15,28,13.85,28.46,0.16,0.009,0.21,0.16
"Brad Richardson","BRAD.RICHARDSON","8470755","11-12","L.A","R","L",1985-02-04,26,2003,5,163,59,694.6,26,14.24,29.4,1.75,0.04,0.12,0.12
"Brad Richardson","BRAD.RICHARDSON","8470755","12-13","L.A","R","L",1985-02-04,27,2003,5,163,16,164.07,22,13.77,27.84,0.83,0.017,0.16,0.13
"Brad Richardson","BRAD.RICHARDSON","8470755","13-14","VAN","R","L",1985-02-04,28,2003,5,163,73,915.75,30,14.23,28.76,0.93,0.012,0.22,0.22
"Brad Richardson","BRAD.RICHARDSON","8470755","14-15","VAN","R","L",1985-02-04,29,2003,5,163,45,542.47,24,14.09,28.56,-0.58,-0.029,0.09,0.18
"Brad Richardson","BRAD.RICHARDSON","8470755","15-16","ARI","R","L",1985-02-04,30,2003,5,163,82,1103.07,34,14.06,29.68,-0.13,-0.014,0.2,0.22
"Brad Richardson","BRAD.RICHARDSON","8470755","16-17","ARI","R","L",1985-02-04,31,2003,5,163,16,205.72,22,14.66,29.3,-0.53,-0.079,0.03,-0.01
"Brad Richardson","BRAD.RICHARDSON","8470755","17-18","ARI","R","L",1985-02-04,32,2003,5,163,76,934.72,30,14.53,28.63,0.51,0.005,0.1,0.21
"Brad Richardson","BRAD.RICHARDSON","8470755","18-19","ARI","R","L",1985-02-04,33,2003,5,163,66,843.3,27,14.62,29.42,0.36,0.024,0.1,0.08
"Brad Richardson","BRAD.RICHARDSON","8470755","19-20","ARI","R","L",1985-02-04,34,2003,5,163,59,637.55,23,14.15,28.27,-0.26,0.023,0.12,0.14
"Brad Richardson","BRAD.RICHARDSON","8470755","20-21","NSH","R","L",1985-02-04,35,2003,5,163,17,163.27,30,14.14,28.3,0.35,0.028,0.15,0.17
"Brad Richardson","BRAD.RICHARDSON","8470755","21-22","CGY","R","L",1985-02-04,36,2003,5,163,27,254.3,23,13.72,27.54,1.11,-0.004,0.16,0.07
"Brad Richardson","BRAD.RICHARDSON","8470755","21-22","VAN","R","L",1985-02-04,36,2003,5,163,17,157.92,21,13.75,27.16,0.1,-0.003,0.04,0.06
"Brad Staubitz","BRAD.STAUBITZ","8471521","08-09","S.J","D/R","R",1984-07-28,24,2002,NA,NA,35,212.52,26,12.73,26.64,0.9,0.021,-0.03,0.05
"Brad Staubitz","BRAD.STAUBITZ","8471521","09-10","S.J","R","R",1984-07-28,25,2002,NA,NA,46,279.5,27,12.85,26.73,0.05,0.008,0.21,0.12
"Brad Staubitz","BRAD.STAUBITZ","8471521","10-11","MIN","R","R",1984-07-28,26,2002,NA,NA,71,457.17,33,13.66,28.24,-2.19,-0.102,-0.01,0
"Brad Staubitz","BRAD.STAUBITZ","8471521","11-12","MIN","R","R",1984-07-28,27,2002,NA,NA,43,278.87,32,13.57,27.32,-2.66,-0.064,0.04,-0.07
"Brad Staubitz","BRAD.STAUBITZ","8471521","11-12","MTL","R","R",1984-07-28,27,2002,NA,NA,19,123.67,24,12.12,25.21,-0.13,-0.018,0.1,0.09
"Brad Staubitz","BRAD.STAUBITZ","8471521","12-13","ANA","R","R",1984-07-28,28,2002,NA,NA,15,93,25,13.64,26.98,-2.34,-0.022,0.11,0.15
"Brad Stuart","BRAD.STUART","8467331","07-08","DET","D","L",1979-11-06,27,1998,1,3,9,143.62,23,13.15,28.7,4.17,0.151,0.3,0.43
"Brad Stuart","BRAD.STUART","8467331","07-08","L.A","D","L",1979-11-06,27,1998,1,3,63,946.68,29,12.85,27.69,-0.31,-0.019,0.14,0.14
"Brad Stuart","BRAD.STUART","8467331","08-09","DET","D","L",1979-11-06,28,1998,1,3,66,1115.35,24,13.28,28.14,4.83,0.096,0.35,0.44
"Brad Stuart","BRAD.STUART","8467331","09-10","DET","D","L",1979-11-06,29,1998,1,3,82,1517.52,27,13.23,26.97,2.16,0.047,0.16,0.21
"Brad Stuart","BRAD.STUART","8467331","10-11","DET","D","L",1979-11-06,30,1998,1,3,67,1149.07,23,13.86,28.59,2.03,0.042,0.27,0.36
"Brad Stuart","BRAD.STUART","8467331","11-12","DET","D","L",1979-11-06,31,1998,1,3,81,1408.82,28,13.73,28.02,2.29,0.092,0.32,0.42
"Brad Stuart","BRAD.STUART","8467331","12-13","S.J","D","L",1979-11-06,32,1998,1,3,48,838.65,28,13.55,26.94,1.31,0.076,0.18,0.2
"Brad Stuart","BRAD.STUART","8467331","13-14","S.J","D","L",1979-11-06,33,1998,1,3,61,1020.25,25,13.73,27.44,2.56,0.132,0.31,0.26
"Brad Stuart","BRAD.STUART","8467331","14-15","COL","D","L",1979-11-06,34,1998,1,3,65,1114.82,28,13.89,27.76,-1.24,-0.073,0.11,0.13
"Brad Stuart","BRAD.STUART","8467331","15-16","COL","D","L",1979-11-06,35,1998,1,3,6,78.82,23,12.19,25.13,-1.44,-0.056,0.09,0.03
"Brad Winchester","BRAD.WINCHESTER","8468515","07-08","DAL","L","L",1981-03-01,26,2000,2,35,41,295.2,28,12.89,28.06,0.47,-0.001,0.21,0.21
"Brad Winchester","BRAD.WINCHESTER","8468515","08-09","STL","L","L",1981-03-01,27,2000,2,35,64,671.08,28,13.44,29.17,0.11,0.029,0.21,0.21
"Brad Winchester","BRAD.WINCHESTER","8468515","09-10","STL","L","L",1981-03-01,28,2000,2,35,64,537.5,27,13.27,28.25,0.37,-0.002,0.13,0.1
"Brad Winchester","BRAD.WINCHESTER","8468515","10-11","ANA","L","L",1981-03-01,29,2000,2,35,19,176.33,21,14.39,29.51,-2.57,-0.088,-0.01,0.02
"Brad Winchester","BRAD.WINCHESTER","8468515","10-11","STL","L","L",1981-03-01,29,2000,2,35,57,525.68,31,14.56,29.79,0.08,-0.024,0.09,0.1
"Brad Winchester","BRAD.WINCHESTER","8468515","11-12","S.J","L","L",1981-03-01,30,2000,2,35,67,505.38,26,13.37,26.47,0.88,0.068,0.21,0.17
"Braden Schneider","BRADEN.SCHNEIDER","8482073","21-22","NYR","D","R",2001-09-20,19,2020,1,19,43,636.35,28,13.21,26.1,-2.37,-0.086,-0.04,-0.01
"Braden Schneider","BRADEN.SCHNEIDER","8482073","22-23","NYR","D","R",2001-09-20,20,2020,1,19,81,1205.43,29,13.35,26.54,-0.14,-0.021,0.13,0.17
"Brady Austin","BRADY.AUSTIN","8477041","16-17","BUF","D","L",1993-06-16,23,2012,7,193,5,77.38,22,14.03,27.83,0.28,-0.01,0.02,0.14
"Brady Keeper","BRADY.KEEPER","8481442","18-19","FLA","D","R",1996-06-05,22,2014,NA,NA,1,12.67,16,12.9,25.68,0.7,0.011,0.17,0.31
"Brady Keeper","BRADY.KEEPER","8481442","20-21","FLA","D","R",1996-06-05,24,2014,NA,NA,1,7.18,16,12.72,25.93,1.12,0.032,-0.07,0.06
"Brady Murray","BRADY.MURRAY","8470744","07-08","L.A","L","L",1984-08-17,23,2003,5,152,4,40.7,20,13.24,28.63,-2.93,-0.103,-0.01,0
"Brady Skjei","BRADY.SKJEI","8476869","15-16","NYR","D","L",1994-03-26,21,2012,1,28,7,103.53,22,13.58,26.97,0.47,0.011,0.23,0.31
"Brady Skjei","BRADY.SKJEI","8476869","16-17","NYR","D","L",1994-03-26,22,2012,1,28,80,1243.08,29,13.44,26.67,0.11,0.009,0.2,0.22
"Brady Skjei","BRADY.SKJEI","8476869","17-18","NYR","D","L",1994-03-26,23,2012,1,28,82,1473.18,35,13.46,26.95,-1.14,-0.025,0.06,0.1
"Brady Skjei","BRADY.SKJEI","8476869","18-19","NYR","D","L",1994-03-26,24,2012,1,28,78,1438.93,30,13.35,26.74,-0.8,-0.01,0.05,0.1
"Brady Skjei","BRADY.SKJEI","8476869","19-20","CAR","D","L",1994-03-26,25,2012,1,28,7,124.73,18,12.78,26.24,2.61,0.078,0.26,0.28
"Brady Skjei","BRADY.SKJEI","8476869","19-20","NYR","D","L",1994-03-26,25,2012,1,28,60,1062.43,26,13.82,28.54,-0.17,-0.006,0.1,0.25
"Brady Skjei","BRADY.SKJEI","8476869","20-21","CAR","D","L",1994-03-26,26,2012,1,28,52,916.55,26,14.03,28.02,2.92,0.147,0.15,0.25
"Brady Skjei","BRADY.SKJEI","8476869","21-22","CAR","D","L",1994-03-26,27,2012,1,28,82,1483.53,28,13.66,27.84,2.9,0.1,0.26,0.27
"Brady Skjei","BRADY.SKJEI","8476869","22-23","CAR","D","L",1994-03-26,28,2012,1,28,81,1470.1,24,14.05,28.46,3.91,0.164,0.36,0.28
"Brady Tkachuk","BRADY.TKACHUK","8480801","18-19","OTT","L","L",1999-09-16,18,2018,1,4,71,954.45,39,15.22,30.1,-0.92,0.015,0.23,0.26
"Brady Tkachuk","BRADY.TKACHUK","8480801","19-20","OTT","L","L",1999-09-16,19,2018,1,4,71,1095.73,35,15.4,30.89,-0.61,0.009,0.08,0.13
"Brady Tkachuk","BRADY.TKACHUK","8480801","20-21","OTT","L","L",1999-09-16,20,2018,1,4,56,803.47,34,15.31,31.05,-0.45,0.025,0.2,0.22
"Brady Tkachuk","BRADY.TKACHUK","8480801","21-22","OTT","L","L",1999-09-16,21,2018,1,4,79,1175.07,35,15.59,31.41,-0.54,-0.033,0.17,0.18
"Brady Tkachuk","BRADY.TKACHUK","8480801","22-23","OTT","L","L",1999-09-16,22,2018,1,4,82,1136.23,33,15.43,32.48,2.11,0.093,0.29,0.3
"Brandon Baddock","BRANDON.BADDOCK","8477631","21-22","MTL","L","L",1995-03-29,26,2014,6,161,1,7.43,16,12.49,25.4,-1.44,-0.05,-0.07,0.01
"Brandon Biro","BRANDON.BIRO","8482061","21-22","BUF","L","L",1998-03-11,23,2016,NA,NA,1,11.72,17,14.47,28.63,0.27,-0.014,0.08,0.09
"Brandon Bochenski","BRANDON.BOCHENSKI","8469666","07-08","ANA","R","R",1982-04-04,25,2001,7,223,12,112,18,13.93,30.46,1.86,0,0.06,0.16
"Brandon Bochenski","BRANDON.BOCHENSKI","8469666","07-08","BOS","R","R",1982-04-04,25,2001,7,223,20,229.32,22,14.36,30.29,0.81,-0.021,0.19,0.11
"Brandon Bochenski","BRANDON.BOCHENSKI","8469666","07-08","NSH","R","R",1982-04-04,25,2001,7,223,8,67.77,20,12.34,26.69,0.57,-0.012,0.09,0.14
"Brandon Bochenski","BRANDON.BOCHENSKI","8469666","08-09","T.B","R","R",1982-04-04,26,2001,7,223,7,63.02,23,11.77,25.56,-1.95,-0.059,0,-0.06
"Brandon Bochenski","BRANDON.BOCHENSKI","8469666","09-10","T.B","R","R",1982-04-04,27,2001,7,223,28,290.85,27,13.71,28.93,-1.23,-0.025,0.02,0.06
"Brandon Bollig","BRANDON.BOLLIG","8475650","11-12","CHI","L","L",1987-01-31,24,2005,NA,NA,18,102.92,21,13.08,26.19,-0.47,-0.019,-0.02,0.06
"Brandon Bollig","BRANDON.BOLLIG","8475650","12-13","CHI","L","L",1987-01-31,25,2005,NA,NA,25,196.55,27,13.85,27.52,3.07,0.033,0.28,0.23
"Brandon Bollig","BRANDON.BOLLIG","8475650","13-14","CHI","L","L",1987-01-31,26,2005,NA,NA,82,812.63,28,14.17,28.11,2.19,0.109,0.38,0.32
"Brandon Bollig","BRANDON.BOLLIG","8475650","14-15","CGY","L","L",1987-01-31,27,2005,NA,NA,62,525.35,35,13.93,27.5,-2.19,-0.026,0.12,0.15
"Brandon Bollig","BRANDON.BOLLIG","8475650","15-16","CGY","L","L",1987-01-31,28,2005,NA,NA,54,493.32,34,13.56,27.34,-0.71,-0.001,0.09,0.1
"Brandon Carlo","BRANDON.CARLO","8478443","16-17","BOS","D","R",1996-11-26,19,2015,2,37,82,1469.1,29,13.91,28.32,2.65,0.097,0.32,0.3
"Brandon Carlo","BRANDON.CARLO","8478443","17-18","BOS","D","R",1996-11-26,20,2015,2,37,76,1235.9,34,13.62,27.33,1.51,0.058,0.28,0.29
"Brandon Carlo","BRANDON.CARLO","8478443","18-19","BOS","D","R",1996-11-26,21,2015,2,37,72,1286.3,34,13.69,27.24,1.56,0.055,0.25,0.24
"Brandon Carlo","BRANDON.CARLO","8478443","19-20","BOS","D","R",1996-11-26,22,2015,2,37,67,1132.38,34,13.43,27.19,1.4,0.04,0.29,0.37
"Brandon Carlo","BRANDON.CARLO","8478443","20-21","BOS","D","R",1996-11-26,23,2015,2,37,27,425.8,31,13.51,27.05,1.45,0.032,0.23,0.16
"Brandon Carlo","BRANDON.CARLO","8478443","21-22","BOS","D","R",1996-11-26,24,2015,2,37,79,1310.7,32,13.42,27.19,2.04,0.116,0.39,0.33
"Brandon Carlo","BRANDON.CARLO","8478443","22-23","BOS","D","R",1996-11-26,25,2015,2,37,75,1137.78,31,13.35,27.58,2.07,0.113,0.48,0.47
"Brandon Davidson","BRANDON.DAVIDSON","8475869","14-15","EDM","D","L",1991-08-21,23,2010,6,162,12,163.82,28,13.43,26.19,-1.21,-0.087,-0.06,-0.03
"Brandon Davidson","BRANDON.DAVIDSON","8475869","15-16","EDM","D","L",1991-08-21,24,2010,6,162,51,803.65,34,13.5,27.36,0.05,0.009,0.1,0.11
"Brandon Davidson","BRANDON.DAVIDSON","8475869","16-17","EDM","D","L",1991-08-21,25,2010,6,162,28,393.78,26,13.44,26.63,0.99,0.032,0.14,0.18
"Brandon Davidson","BRANDON.DAVIDSON","8475869","16-17","MTL","D","L",1991-08-21,25,2010,6,162,10,162.87,23,13.72,27.22,2.15,0.065,0.22,0.24
"Brandon Davidson","BRANDON.DAVIDSON","8475869","17-18","EDM","D","L",1991-08-21,26,2010,6,162,23,347.68,22,13.68,27,0.77,0.021,0.15,0.16
"Brandon Davidson","BRANDON.DAVIDSON","8475869","17-18","MTL","D","L",1991-08-21,26,2010,6,162,13,176.95,24,13.63,27.47,0.92,0.035,0.09,0.06
"Brandon Davidson","BRANDON.DAVIDSON","8475869","17-18","NYI","D","L",1991-08-21,26,2010,6,162,15,235.48,21,13.5,26.88,-0.1,0,0.19,0.24
"Brandon Davidson","BRANDON.DAVIDSON","8475869","18-19","CHI","D","L",1991-08-21,27,2010,6,162,10,123,24,13.06,26.08,0.3,-0.037,0.09,0.14
"Brandon Davidson","BRANDON.DAVIDSON","8475869","19-20","CGY","D","L",1991-08-21,28,2010,6,162,7,83.67,22,13,25.7,-0.95,-0.023,0.14,0.08
"Brandon Davidson","BRANDON.DAVIDSON","8475869","19-20","S.J","D","L",1991-08-21,28,2010,6,162,5,62.2,20,12.31,24.92,0.4,-0.014,0,0.07
"Brandon Davidson","BRANDON.DAVIDSON","8475869","20-21","BUF","D","L",1991-08-21,29,2010,6,162,6,84.17,23,13.86,27.07,-0.73,-0.057,-0.05,-0.04
"Brandon Defazio","BRANDON.DEFAZIO","8476214","14-15","VAN","L","L",1988-09-13,26,2006,NA,NA,2,11.88,13,13.72,27.67,-1.24,-0.072,0.03,0.07
"Brandon Dubinsky","BRANDON.DUBINSKY","8471273","07-08","NYR","C","L",1986-04-29,21,2004,2,60,82,970.58,26,14.39,30.78,2.15,0.059,0.11,0.22
"Brandon Dubinsky","BRANDON.DUBINSKY","8471273","08-09","NYR","C","L",1986-04-29,22,2004,2,60,82,1073.83,26,13.95,29.63,1.39,0.02,0.01,0.12
